,Class Index,Description
1090,3,What is a fear of hell ?
1091,4,Who is Dear Abby ?
1092,4,"Who lives at 24 Sussex Drive , Ottawa ?"
1093,3,What is Jell-O made from ?
1094,4,Who was Monet ?
1095,5,What are the only two states that incorporate the Confederate battle flag in their flags ?
1096,2,How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?
1097,3,What 's the Southern dish made of pigs ' small intestines ?
1098,5,Where is Guam ?
1099,4,Who was the famous door-to-door brush salesman ?
1100,2,What is the executor in a will ?
1101,4,"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?"
1102,6,How many people in America snore ?
1103,4,Who is always trying to get the rent from Andy Capp ?
1104,3,What soft drink is most heavily caffeinated ?
1105,4,Who did Jackie Kennedy commission to write The Death of a President ?
1106,3,Which drug is commonly used to treat AIDS ?
1107,6,How many stars are there on the Soviet Union 's flag ?
1108,2,What is the difference between microprocessors & microcontrollers ?
1109,4,Who sought to create The Great Society ?
1110,5,What are tourist attractions in Reims ?
1111,6,What are the lengths of pearl necklaces ?
1112,4,Who said : `` Soldiers win the battles and generals get the credit '' ?
1113,2,What is the proof that houseplants metabolize carcinogens ?
1114,2,What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?
1115,6,How long does it take the typical hen to lay 19 dozen eggs ?
1116,5,What Colorado city owns its own glacier ?
1117,2,What is the history of `` the toast '' ?
1118,3,What was the name of the Protestant revolt against the supremacy of the Pope ?
1119,2,What is an arab strap ?
1120,6,"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,"
1121,4,Who is the current UN Secretary General ?
1122,4,"Who provides telephone service in Orange County , California ?"
1123,5,Where did guinea pigs originate ?
1124,5,What two countries ' coastlines border the Bay of Biscay ?
1125,2,Why did Egyptians shave their eyebrows ?
1126,4,What organization did Mr. Waverly assign agents for ?
1127,6,When was the slinky invented ?
1128,4,What are the characters ' names in the Scooby-Doo cartoon ?
1129,3,What is a fear of cold ?
1130,4,What was Eduard Shevardnadze 's job in the Soviet Union ?
1131,2,What causes rust ?
1132,4,Which is the only Dick Tracy villain to appear three times ?
1133,3,What was the monster in Spielberg 's film `` Jaws '' ?
1134,3,What color is an Arctic fox in winter ?
1135,2,"What do the names Neil , Mary , and Anthony mean ?"
1136,5,"What European capital celebrated its 2 , 000th anniversary in 1951 ?"
1137,2,Why do people in the upper peninsula of Michagin say `` eh ? '' ?
1138,3,What flower did Vincent Van Gogh paint ?
1139,5,What country was the setting of You Only Live Twice ?
1140,6,What was Thatcher 's approval rating after 10 years in power ?
1141,3,Winnie the Pooh is what kind of animal ?
1142,2,"What was the first Funk 'N Lata , Brazilian group , success ?"
1143,2,What is a handheld PC ?
1144,2,What did John Hinckley do to impress Jodie Foster ?
1145,4,What is Larry King 's job ?
1146,6,How many calories are in a tomato ?
1147,5,In what state was the first co-educational college established
1148,3,What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?
1149,3,What is the treatment for depression ?
1150,3,What is a fear of slime ?
1151,5,What country in Latin America is the largest one ?
1152,5,On which Hawaiian island is Pearl Harbor ?
1153,4,"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?"
1154,3,What Marx Brothers movie centers on a stolen painting ?
1155,2,What was unusual about Alexandra 's appearance in Josie and the Pussycats ?
1156,2,What is the origin of the word `` mind '' ?
1157,6,When was Dick Clark born ?
1158,3,What game is fatal to anybody over 21 ?
1159,6,What is the death toll of people dying from tuberculosis ?
1160,2,What happened to Moon Maiden ?
1161,5,What city is wiener schnitzel named for ?
1162,2,What are the Urals ?
1163,2,How can you stop the itch from poison ivy ?
1164,5,What desert has the highest sand dunes ?
1165,5,What two countries contain Sierra Nevada mountains ?
1166,2,How do you tell your parents you are dating an older man ?
1167,6,How long was the TV mission of Star Trek 's Enterprise to be ?
1168,6,What phone number can I call to have a tree planted ?
1169,6,When did the `` Star-Spangled Banner '' become the national anthem ?
1170,4,Who was Lacan ?
1171,3,What are the four natural aids used in riding a horse ?
1172,5,What continent 's name appears on the upper left corner of a Budweiser label ?
1173,4,Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?
1174,4,Who did Bobby Fischer beat to win the world chess championship ?
1175,2,How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?
1176,5,Where can I get information and statistics on countries and nations ?
1177,3,Name a Gaelic language .
1178,6,"What day is August 13 , 1971 ?"
1179,5,Where can I find a list of all the companies in America that offer a direct stock purchase plan ?
1180,2,How do you send a movie transcript to Hollywood so that it can be produced into a film ?
1181,3,"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?"
1182,2,What is the origin of blue for boys and pink for girls ?
1183,3,What is the name of the Michelangelo painting that shows two hands with fingers touching ?
1184,6,How big is a quart ?
1185,2,What is the Hub of London ?
1186,3,Jude Law acted in which film ?
1187,2,What causes panic attacks ?
1188,2,What was the filling in the first golf balls ?
1189,3,What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?
1190,5,What country was A Terrible Beauty to Leon Uris ?
1191,2,What is typhoid fever ?
1192,5,Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?
1193,2,What are the Twin Cities ?
1194,3,What is Beethoven 's 9th symphony called ?
1195,4,Name the lawyer for Randy Craft .
1196,3,Which breakfast cereal brought you `` the best each morning '' ?
1197,1,"What does Ms. , Miss , and Mrs. stand for ?"
1198,5,What is the Homelite Inc. home page ?
1199,3,"What explosive do you get by mixing charcoal , sulfur and saltpeter ?"
1200,5,What mountainous region of the world is the Lhasa Apso dog native to ?
1201,3,What cancer is commonly associated with AIDS ?
1202,6,How long does it take light to reach the Earth from the Sun ?
1203,4,Who lives at 39 Stone Canyon Way ?
1204,6,How many questions are on this thing ?
1205,4,Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?
1206,4,"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?"
1207,4,Who played the title role in I Was a Teenage Werewolf ?
1208,2,Why are there olives in martinis ?
1209,6,In what year did Hitler gain power of Germany ?
1210,6,What year did Rossetti paint `` Beata Beatrix '' ?
1211,4,What record company produced the 1978 movie The Wiz ?
1212,5,Where can I find information about touring the Philippines ?
1213,3,What did The Gas House Gang play ?
1214,6,How many square feet is Bill Gates ' home ?
1215,4,"What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?"
1216,2,What is the highest Roman numeral ?
1217,3,What 's the most popular form of bridge ?
1218,4,Who was the inventor of the stove ?
1219,4,What comedian has a legendary reputation for stealing jokes ?
1220,5,Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?
1221,6,Boxing Day is celebrated on what date ?
1222,3,What are the first ten amendements passed ?
1223,3,What is another term for the painful wrist syndrome ?
1224,2,What 's the difference between sleet and freezing rain ?
1225,2,How is the new Ford Econoline van F25 V1 engine ?
1226,4,Who was the king who was forced to agree to the Magna Carta ?
1227,4,Who was made the first honorary citizen of the U.S. ?
1228,3,What game is Garry Kasparov really good at ?
1229,5,Where was Richard Nixon when Gerald Ford became president ?
1230,6,Where does the U.S. rank among world countries in area ?
1231,3,What novel did Ian Fleming introduce James Bond in ?
1232,6,What was the target rate for M3 growth in 1992 ?
1233,4,What baseball team was routinely called `` dem bums '' by its frustrated fans ?
1234,4,Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?
1235,6,When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?
1236,2,What are the major differences in the Catholic and Methodist religions ?
1237,4,Name the On Stage character whose face was never seen .
1238,6,How much energy is released when oxygen and hydrogen mix ?
1239,4,What is the best Internet business to go into ?
1240,2,What does Venus Retrograde mean ?
1241,4,Who is known as `` the world 's oldest teenager '' ?
1242,5,What are the largest breweries in the world ?
1243,2,What does Las Vegas mean ?
1244,2,What does the word `` meta '' mean ?
1245,3,What keeps clouds in the air ?
1246,3,What 's the term for any four-sided figure ?
1247,3,Ray Charles plays which instrument ?
1248,5,What country and western singer is known as The Silver Fox ?
1249,5,What building appropriately enough is depicted on the back of the 1-dollar bill ?
1250,2,What is graduate school ?
1251,2,What is the difference between New York-style and Chicago-style pizza ?
1252,4,What baseball team owner and sailor is known as The Mouth of the South ?
1253,3,What type of betting is used in horse racing ?
1254,3,What kind of hat does Bat Masterson wear ?
1255,4,Who was with Patricia Hearst the night she was kidnaped ?
1256,4,What is the Viking Prince 's first name ?
1257,1,What does the abbreviation cwt. ?
1258,3,In what deodorant commercial did tenants have adjoining medicine cabinets ?
1259,5,Where is Rider College located ?
1260,4,What boxer 's life story is titled Raging Bull ?
1261,2,For what reason did some San Diego schools stop serving apples ?
1262,4,Who advised listeners to `` see the U.S.A. in your Chevrolet '' ?
1263,5,Where was the first restaurant ?
1264,5,Where can I find full written draft of CTBT ?
1265,6,How many horses died during the civil war ?
1266,6,How much waste does an average dairy cow produce in a day ?
1267,4,What Nobel laureate was expelled from the Philippines before the conference on East Timor ?
1268,4,"What woman has carried the most multiple births , twins , triplets , etc. , ?"
1269,6,How many minutes were there on the original GE College Bowl clock ?
1270,6,What is the average time it takes for a male to ejaculate ?
1271,5,What is website of the International Court of Justice ?
1272,5,Where are 8 of the 10 highest mountains in the world ?
1273,5,Where can I look at a perpetual calendar ?
1274,6,How many astronauts have been on the moon ?
1275,6,In what year did the Bounty mutiny happen ?
1276,3,What is the only substance that gives food its `` taste '' when eaten ?
1277,2,How do you reference a website ?
1278,2,What is pandoro ?
1279,1,What do the letters ZIP stand for in the phrase `` ZIP code '' ?
1280,4,Which Bourbon king was restored to the French throne during Napoleon 's abdication ?
1281,5,What is one of the cities that the University of Minnesota is located in ?
1282,2,What are the words to `` My Way '' written by Paul Anka ?
1283,2,How do I install a tile floor ?
1284,3,What is the quickest and easiest way to get nail polish out of clothes ?
1285,2,Why was the zipper invented ?
1286,3,What 's the No. 1 killer in industrialized countries ?
1287,3,Name four famous cartoon cats .
1288,4,What daughter of Henry VIII and Anne Boleyn became queen of England ?
1289,2,How did ` stat ' come to be used as an expression for quickly ?
1290,4,What 's the most common nickname of U.S. college football teams ?
1291,2,What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?
1292,5,What is the most useful site on the Internet ?
1293,5,What is the world 's highest peak ?
1294,2,What was a Mae West on a World War II battleship ?
1295,2,Define cosmology .
1296,4,What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?
1297,2,What are amicable numbers ?
1298,6,When were the Olympic Games in which Nadia Comaneci became popular played ?
1299,5,"Where is Hearst Castle , built by publisher William Randolph Hearst ?"
1300,5,What 's the largest U.S. city on the Great Lakes ?
1301,4,Who sang about Desmond and Molly Jones ?
1302,3,"What magazine gives us the cream , not the skim ?"
1303,3,What does the technique called `` cold fusion '' produce ?
1304,4,What costume designer decided that Michael Jackson should only wear one glove ?
1305,3,"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?"
1306,6,How many rows of sprocket holes does a roll of 35-millimeter film have ?
1307,6,What is the goat population of the world ?
1308,4,What company was the original sponsor of TV 's Superman ?
1309,3,What term does a Czech use to describe a Pole ?
1310,5,What sea separates Naples and Algiers ?
1311,6,How many lawyers are there in the state of New Jersey ?
1312,3,What are the most common elements in seawater ?
1313,2,Describe the Finnish music personality Salonen 's appearance .
1314,2,What is the origin of the ethnic category `` caucasian '' ?
1315,2,What is a stratocaster ?
1316,3,What kind of science is cosmology ?
1317,4,Name the blind sculptress in love with the Fantastic Four 's Thing .
1318,3,What 's the second-lightest element ?
1319,3,What do you call a `` twirl '' in ballet ?
1320,3,What is the brand name of daminozide ?
1321,3,What is the former name of Zimbabwe ?
1322,4,What National Basketball Association superstar told his story in Giant Steps ?
1323,3,What animals did The Amazing Three masquerade as ?
1324,2,How did the bikini bathing suite get its name ?
1325,6,When did Fraze get his first patent for the pull-tab can ?
1326,6,How many games are played in a five-team round-robin tournament ?
1327,4,Who developed the first polio vaccine ?
1328,4,Who made the first gas engine ?
1329,5,"What country claimed Rubens , Van Dyck and Bruegel as citizens ?"
1330,3,What civil war was fought between 1936 and 1939 ?
1331,6,How many questions do you have on your database ?
1332,2,How do clouds form ?
1333,5,Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?
1334,4,What character did Tex Avery first create upon arriving at MGM ?
1335,6,When was the Triangle Shirtwaist fire ?
1336,4,What Asian spiritual and political leader was married at the age of 13 ?
1337,5,Where is Ocho Rios ?
1338,2,What is the half-life of P-32 ?
1339,5,What ocean does Mauritania border ?
1340,2,Why do pressure cookers save time in the kitchen ?
1341,2,Why are there 12 people on a jury in criminal cases ?
1342,2,What do Christian Scientists believe in ?
1343,3,"What World War I battle saw 6 , 0 troops killed in one day ?"
1344,5,What country is Kosovo a part of ?
1345,5,Tell me what city the Kentucky Horse Park is near ?
1346,3,What computer operating system is on the most computers ?
1347,5,What is Bill Gross 's email address ?
1348,2,What is the economic impact of unemployment on the economy ?
1349,1,"What do the letters D.C. stand for in Washington , D.C. ?"
1350,3,What animals can live the longest without food ?
1351,4,What English queen had seventeen children ?
1352,6,"What is the approximate population of Las Vegas , N.M ?"
1353,6,How much does the President get paid ?
1354,4,What two baseball players make up the battery ?
1355,3,What 's the largest letter in Salvador Dali 's signature ?
1356,3,What does an irate car owner call iron oxide ?
1357,6,"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?"
1358,5,What 's the northernmost U.S. state apart from Alaska ?
1359,5,Name an art gallery in New York .
1360,4,Who sells Viagra ?
1361,3,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
1362,2,What is the Home Rule Act ?
1363,5,What building are British monarchs crowned in ?
1364,2,What are Bellworts ?
1365,4,Who was Darius ?
1366,3,What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?
1367,4,Who did Dita Beard work for ?
1368,3,What kind of creature is a coot ?
1369,4,Name the university of which Woodrow Wilson was president .
1370,5,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?"
1371,4,What university was Woodrow Wilson President of ?
1372,3,What is a fear of disease ?
1373,3,What kind of meat is Fray Bentos synonymous with ?
1374,3,What did Mr. Magoo flog on TV for General Electric ?
1375,2,What are the words to the Canadian National anthem ?
1376,3,What is the name of the Jewish alphabet ?
1377,4,Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?
1378,6,What is Columbia Tristar 's phone number ?
1379,4,Name the five positions who are in the line of succession to the presidency .
1380,4,Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?
1381,4,Who is the best known villain of the 165 Gunpowder Plot ?
1382,5,What is the capital of Burkina Faso ?
1383,5,What continent is Bolivia on ?
1384,2,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?
1385,4,"Who killed more people , Hitler or Stalin ?"
1386,2,What caused Shea & Gould to close their L.A. office ?
1387,3,What 's the only mammal that can 't jump ?
1388,5,What U.S. state has the most blondes ?
1389,3,What war saw battles at Parrot 's Beak and Black Virgin ?
1390,6,What was the U.S. highway death toll in 1969 ?
1391,2,What does the name Kelly mean ?
1392,2,What is a phalanx ?
1393,4,What mustachioed comedian portrayed Frankie in North to Alaska ?
1394,6,What does each of the utilities cost in Monopoly ?
1395,4,"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?"
1396,1,What does e.g. stand for ?
1397,3,What is the name of the medical condition in which a baby is born without a brain ?
1398,2,How do storms form ?
1399,4,Who is Nicolo Paganini ?
1400,5,What city is often called The Insurance Capital of the World ?
1401,3,What are the three animals in Sheila Burnford 's The Incredible Journey ?
1402,4,Who portrayed Dracula in Hammer Studios ' films ?
1403,3,Name one of the Seven Wonders of the Ancient World .
1404,6,When were fish first believed to be found on earth ?
1405,4,"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' ."
1406,6,How many elevators do you ride to reach the top floor of the Empire State Building ?
1407,4,Name the food company that traveled to Soviet Georgia to film a series of ads .
1408,5,What country was Sir Edmund Hillary born in ?
1409,3,What 's an infant seal called ?
1410,2,"What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?"
1411,5,What city was John F. Kennedy nominated for president in ?
1412,6,How long does a dog sleep ?
1413,3,What 1963 Joseph L. Mankiewicz film cost $28 million ?
1414,4,What Japanese electronics company was named for a coastal city northeast of Tokyo ?
1415,6,What can you be fined for having a dog on a beach ?
1416,5,Where did the Battle of the Bulge take place ?
1417,6,How much will the California be in the year 2000 ?
1418,4,"What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?"
1419,5,What state full of milk and honey was the destination in The Grapes of Wrath ?
1420,5,What is the tallest building in Japan ?
1421,5,Where is Sinn Fein 's headquarters ?
1422,3,Name Li 'l Abner 's favorite Indian drink .
1423,3,What are some important events of the 1830 's ?
1424,6,The Iraqis launched their attack on Kuwait on what day ?
1425,3,What letter adorns the flag of Rwanda ?
1426,3,"What did 8 , CD NNS VBP TO VB NNP POS NN ."
1427,2,What is God ?
1428,5,What country 's northernmost city is Darwin ?
1429,5,"What sound does Olympia , Washington , overlook ?"
1430,3,What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?
1431,5,What Kentucky city calls itself The Horse Center of America ?
1432,6,How many penny-farthings are there on a Trivial Pursuit game board ?
1433,3,What 's the most abundant element in the sun ?
1434,5,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?"
1435,5,What U.S. state is Dixville Notch in ?
1436,5,"Where was the Cisalpine Republic , 1797-185 , ?"
1437,5,What is the largest shopping mall in the world ?
1438,4,What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?
1439,3,What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?
1440,4,What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?
1441,2,What is a meerkat ?
1442,4,Who was Jean Nicolet ?
1443,3,What kind of animal was Winnie the Pooh ?
1444,4,Which of these are authors ?
1445,3,What 's the international radio code word for the letter B ?
1446,4,Who was the original Humpty Dumpty ?
1447,2,What is cache memory ?
1448,3,Aspartame is also known as what ?
1449,5,Where is the location of the Orange Bowl ?
1450,6,When is President Nixon 's birthday ?
1451,2,"What is the origin of the midwest slang , ` you 're darn tootin ' ?"
1452,4,Whose cupboard was bare ?
1453,5,What are the seven seas ?
1454,1,What does IBM stand for ?
1455,2,What is the difference between jazz and blues ?
1456,2,What is the C programming language ?
1457,4,What 's the name of Popeye 's adopted son ?
1458,4,Who invented the vacuum cleaner ?
1459,2,What is a ` borrow pit ' ?
1460,4,What 2th-century fictional character attends Pencey Prep School ?
1461,6,How many people in the USA say their number one source of information is the newspaper ?
1462,4,"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?"
1463,5,Which country is known as `` Big Bear '' ?
1464,3,"What `` melts in your mouth , not in your hands '' ."
1465,6,How many times a day should you take a prescription marked `` q.i.d . '' ?
1466,2,What is the origin of the atom ?
1467,4,Who is the Voyager project manager ?
1468,4,Which radio stations air the Jim Bohannon Radio Talk Show ?
1469,4,What two commanders directed the forces in the Battle of El Alamein ?
1470,4,Name the creator of `` The Muppets '' .
1471,2,How do I e-mail someone at aol.com from yahoo.com ?
1472,4,Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back ?
1473,2,What is the meaning of the name Ella ?
1474,5,What 's the home of the Rockettes ?
1475,5,"Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?"
1476,4,What is the name of the firm that makes Spumante ?
1477,3,What sport is played on the largest field ?
1478,4,Who won the 1967 Academy Award for Best Actor ?
1479,3,What is after death ?
1480,4,Name the first private citizen to fly in space .
1481,4,What was football star Elroy Hirsch 's nickname ?
1482,4,What singer sings `` Oh Boy '' ?
1483,6,How much pizza do Americans eat in a day ?
1484,5,What is the website for the USA journal ?
1485,4,What army 's motto is Blood and Fire ?
1486,3,What kind of patent did Ermal Fraze get in 1963 ?
1487,2,What are you hearing when you put a seashell to your ear ?
1488,2,Why are haunted houses popular ?
1489,3,Which gender has bigger thighs ?
1490,5,What U.S. state has the second-longest coastline ?
1491,5,What state 's home to the Buffalo Bill Historical Center ?
1492,6,How fast do cheetahs run ?
1493,3,What is Ray Bradbury 's illustrated man illustrated with ?
1494,6,How fast is a 45Mhz processor ?
1495,3,"What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?"
1496,4,What count did Alexandre Dumas write about ?
1497,6,What are the odds of giving birth to twins ?
1498,5,What is the largest natural lake in Pennsylvania ?
1499,6,How far is London UK from California ?
1500,3,Name the two mystical ravens Odin has at his command .
1501,3,What was the species of Winnie the Pooh ?
1502,2,What is the virus HIV ?
1503,6,How many years old is Benny Carter ?
1504,3,What Hermann Hesse book gave its name to a rock group ?
1505,5,Where does the Santa Fe Trail begin and end ?
1506,3,What book is the follow-up to Future Shock ?
1507,3,What African animals are known as The Big Five ?
1508,3,What is the alphabet for Latin ?
1509,3,What is the fear of frogs ?
1510,5,Which city in Canada is the least-populated ?
1511,6,How old is Stevie Wonder ?
1512,4,Who was the first Taiwanese President ?
1513,4,Who is Luke Skywalker 's father ?
1514,3,What does a dipsomaniac crave ?
1515,2,What is the definition of the term `` weapons system '' ?
1516,2,What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?
1517,3,What is Nero Wolfe 's favorite drink during office hours ?
1518,4,What is the first personal computer company ?
1519,3,What is the most efficient way to start a barbeque ?
1520,4,Who was Jane Goodall ?
1521,2,Why are there Braille things on the ATM machines that people drive through ?
1522,5,Where is the Isle of Man ?
1523,3,What book did Aaron Hass write ?
1524,6,What was the death toll at the eruption of Mount Pinatubo ?
1525,6,When will the millennium officially begin ?
1526,4,"Who created the comic strip , `` Garfield '' ?"
1527,4,Which Vietnamese terrorist is now a UN delegate in Doonesbury ?
1528,2,What is real time processing ?
1529,5,What do we call the imaginary line along the top of the Rocky Mountains ?
1530,5,What country 's capital is Lagos ?
1531,5,Where does Ray Bradbury 's Chronicles take place ?
1532,4,Who is the current prime minister and president of Russia ?
1533,4,Who established a Viking colony in Greenland about 985 ?
1534,3,What was the distinguishing mark on the `` Little Rascals '' dog ?
1535,6,"What is the latitude and longitude of El Paso , Texas ?"
1536,5,Where can I get information about cystic fibrosis ?
1537,5,Where did Honecker rule ?
1538,2,What is the theory of equivalence states ?
1539,3,What does a philatelist collect ?
1540,6,What is the life span of the average monkey ?
1541,6,How many member states are in the UN ?
1542,4,Who shot and killed himself while painting Wheatfield with Crows ?
1543,2,What will happen when sodium is put in water ?
1544,2,What 's the meaning of UOL ?
1545,4,What future President became Senate majority whip under Harry Truman ?
1546,4,Who was the architect of Central Park ?
1547,3,Which operating system runs on IBM-compatible machines ?
1548,6,What are the dimensions of an ice hockey goal ?
1549,6,When was CNN 's first broadcast ?
1550,3,What are the signs of a country going into a recession ?
1551,2,What is the circumorbital hematoma ?
1552,5,What African country is governed from Ouagadougou ?
1553,4,What was the Christian name of the title character in Our Miss Brooks ?
1554,4,What hard-of hearing artist painted Sunflowers ?
1555,4,Who were the Yankee 's frequent enemies ?
1556,4,Who wrote Sons and Lovers ?
1557,3,What is the English translation for the word `` caliente '' ?
1558,3,What handicraft requires you to interlace your warp and weft ?
1559,5,What French seaport claims to be The Home of Wines ?
1560,6,How long does it take sunlight to reach Earth ?
1561,6,How many milliseconds in a second ?
1562,4,What Cherokee Indian gave his name to a tree ?
1563,6,When were camcorders introduced in Malaysia ?
1564,6,What is the chance of conceiving quadruplets ?
1565,4,Who was the star of Leave It to Beaver ?
1566,5,What countries have the largest armed forces in the world ?
1567,4,What was William F. Cody 's better-known name ?
1568,2,How do I increase my biceps ' size ?
1569,4,Who did Richard Nixon tender his resignation to ?
1570,4,Who was Thucydides ?
1571,2,How is the element strontium purified ?
1572,4,Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?
1573,2,What are tonsils for ?
1574,3,"What molecules include fluorine , sodium and magnesium ?"
1575,3,What was the name of the ball game played by the mayans ?
1576,3,What was the sequel to The Moon 's Balloon ?
1577,6,What is the exchange rate for Australian to American money ?
1578,2,What is the origin of the word ` posh ' ?
1579,2,How can anyone tell if a female had sexual intercourse ?
1580,6,How many states did Richard Nixon carry in 1972 ?
1581,3,What basketball maneuver did Bert Loomis invent ?
1582,3,What is a good book to read for people who hate to read ?
1583,6,How many shillings more than 2 were there in a guinea ?
1584,3,What does a tarantula eat ?
1585,3,What are the three secondary colors ?
1586,2,What does the name `` Sabrina '' mean ?
1587,4,Who took over as conductor of the Boston Pops after Arthur Fiedler 's long reign ?
1588,3,What were the trials called which followed World War II ?
1589,2,What is hebephrenia ?
1590,4,What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?
1591,3,What famous events have happened on March 27 ?
1592,4,Which company claimed to be `` the world 's biggest toy store '' ?
1593,6,What brand number graces the black label of a bottle of Jack Daniel 's ?
1594,3,What do I call the sons and daughters of my first cousins ?
1595,2,What were the causes of the Civil War ?
1596,2,What are Maid-Rites ?
1597,5,What city is terrorized by Dracula in The Night Stalker ?
1598,2,How can you prevent it ?
1599,2,What do the names Andrew and Christina mean ?
1600,3,What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?
1601,4,Who is the fastest guitarist ?
1602,3,What do camels store in their humps ?
1603,3,What is the name of the second space shuttle ?
1604,5,What is the best hospital for orthopedics in the country ?
1605,2,What are perfect tenses ?
1606,2,What is commonly considered the fifth sense ?
1607,3,What was another name for East Germany ?
1608,3,What 's the second-biggest-selling magazine in America ?
1609,4,Who betrayed Norway to the Nazis ?
1610,4,Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?
1611,2,What is a bourdon tube ?
1612,3,What kind of a sports team is the Wisconsin Badgers ?
1613,4,Who were the Picts ?
1614,2,"What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?"
1615,2,What is film noir ?
1616,4,Who is stationed at Camp Swampy in the comic strips ?
1617,6,In what year did China and the Republic of Korea establish diplomatic relations ?
1618,2,What causes tuberculosis ?
1619,6,How tall is the giraffe ?
1620,4,What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?
1621,3,What animal was the heat-seeking missile called the Sidewinder named for ?
1622,6,How long did it take Stanley to find Livingstone ?
1623,6,How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?
1624,5,What lake is Sheboygan on ?
1625,2,What are a baseball team 's firemen ?
1626,3,What is a fear of color ?
1627,3,What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?
1628,3,What are the two largest birds on earth ?
1629,3,Name the four stories contained in Edith Wharton 's `` Old New York . ''
1630,5,What is the largest lake in North America ?
1631,6,How many people died because of a smoking problem in 1997 ?
1632,3,What is chronic constipation a symptom of ?
1633,4,Who wrote The Look of Love after viewing Ursula Andress ?
1634,4,What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?
1635,4,Who claims to have the greatest show on earth ?
1636,2,What is Head Start ?
1637,4,What Honeymooners actress did Television magazine name as 1953 's most promising star ?
1638,2,Why can 't women serve in the Navy on board submarines ?
1639,3,What did the Yalta Conference lead to ?
1640,3,What dog was dubbed The Mortgage Lifter ?
1641,2,What is saltpeter ?
1642,2,What 's the difference between J.D. and LL.M. ?
1643,4,What kind of organization is ` Last Chance for Animals ' ?
1644,4,What was the role of the Medieval Guild ?
1645,4,Silly putty was invented by whom ?
1646,3,What should the oven be set at for baking Peachy Oat Muffins ?
1647,2,How can someone become a federal agent ?
1648,4,Who invented the paper clip ?
1649,4,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?
1650,6,How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?
1651,5,What city or state do the most gay men live in ?
1652,6,Shea and Gould had an office in Los Angeles for how long before closing it ?
1653,3,"What word occurs 46 , 227 times in the Bible ?"
1654,2,How can you be happy ?
1655,2,How would someone go about becoming an organ donor ?
